p_hate,text
0.8299074009241079,Abe rape pirit aurat ke bacche haram khor kutte ke bille suvar
0.5954806834499236,@NimraSohail06 hate humari larki tu Batman hai
0.9278565115556595,Aur koi bolo Mauka mauka.pandya atleast faught jadeja ko maut aa jaye.hate this game hate it
0.6013749626366846,Sar aap se hate jodkar nivedhan karta hu ki meri sister Ko Baramat karyor polic Ko karavay karane ke aadhsh d
0.592452440393573,Ohh aise log bhi haen? Tum aise lagte nehi ho ke tumhe koi hate kare
0.5574094009671727,Or tab maza ayega!  And priyank ko bhi sabak milega dosti mei gahdari ka!  Priyank must be out for sure hate you priyank sharma and vikas tu bhi jayega #HinaKhan #BB11 #BiggBoss11
0.9377910926800539,wai sadenli yu hate mi ameera
0.5184579549790285,"Aksar rape,gundagardi aur gaaliyan boli jaati hai har galiyon me, Kuch din to Gujariye UP me https://twitter.com/s_cartoons/status/833626726106292224 …"
0.5656389744230699,kabhi na bandho nadan parindo ko..akhir Ho ud he hate hai
0.6502717528190611,@NitishKumar @wscid @narendramodi @ bihar vijaipurthana police bauhat hi bada kand hone pe risvat le ke chut hai ek  ladki ki kidnap kar ke rape kar ke murder kar diya gya hai vijaipurthana  police mila hai Mukesh kumar bade babu jo 12 lakh rupya le ke case ko daba rha hai pic.twitter.com/JL1DkoqVDT
0.5977559027317078,"Thori sharam karo. Aap ki auqat nahin Hafiz saeed per comment karne ki,, pehle BB k qatilon ko pakro,, dr asim ko phansi do, apna ehtsab kro"
0.5551884668700666,you mean hatred ke saath disbelief aa hi jata hai slowly?
0.5351327761321374,kqabar me se uthake rape kiya hain dead body ke sath tere pakistan me...chup ho ja chutiye..toilet ban chuka aaja jamader
0.5274010528432389,Sirf Musalman ki beti Meri beti hy Ramzan mein Bijli milegi @yadavakhilesh ne kaha Ladke rape kar sakte hain Mulayam ne kaha #Vote4BJP
0.5233262711239342,"ye kis taraaki jel hai, kabhi keadi bhag hate hai to kabhi keadi ke ayse mamle same date hai."
0.7605556373374056,Desh mein 100% rape bhagwe log Matlab hindu Kar rahe hai sanbhu laal regar urf suvar apni bhahen ka balatakar karta hai Aur hame bol rahe ho Mahila ki ijjat Ka koi nhi lage raho balatakari bhagwi hindu boy
0.6526134989921808,Abe chutya bhool gaya kya Kuwait war main Muslim Iraqi soldiers ne hi Muslim Kuwaiti aurat ka Ladki logo ka rape Kiya tha.. Tum logo k aukad
0.596654763421896,Ajay s/o ramdas vill and post nawar ka nibasi hai jisne ek 6 year ki ladki rape kiya hai aur us ladki ke parents bahut ghabraye huye hai ajay ke ghar bale dhamki de rahe hai case bapas lelo nhi to ham kisi ko nhi chhodenge so ham sab gav basi ka nivedan hai ki us papi ko kadi se
0.5220641694771985,ini hate speech nih pak @DivHumasPolrihttps://twitter.com/corleonuno/status/819910608984256513 …
0.5489628721205008,Rapist marenge tb hi rape rukenge
0.6002793653974674,U r a part of Godi media buddy.... Sirf jhoot bolte raho aur haram ka khate raho..... Le k duba do India ko..... Sirf logo k dilo me nafrat ka zeher bharte raho aur Hindu ne kya kia Muslim ne kya kia isi me zindagi guzar do.... Doob maro nadi me kood k... Desh ko mat dubao bhakt.
0.6251426205847984,gali mat de Bhai nai to bolegi Muslim hoon is liye gali de raha .bolti ha army iski Maa been ka rape kiya
0.6132991926914002,Twitter pay kisy ko hate nae karta aur bahir kisy k lia dil ma bugaz nae rakhta
0.5964066450814113,14 sal ka bachcha rape kar deta hai tum to ghotale Ki baat kar rahe ho. Mangadhant kahani banane se koi vishwash nahi kar lega
0.6213548753958715,"mjh jo bh kaho ,, pr mery favrt ko na he like kro aur na he hate , warna"
0.9486314382735244,"Rape and woman persecution ke khilaf awaz toh uthate hi hai iska matlab yeh nahi Kisi aur ke khilaf awaz na uthae, waise bata du film ka virodh bhi rapist aur woman's kidnaper khilji ke wajah se hi hai."
0.6395626806476469,bhaag i hate hina
0.5201469105325143,"Tum Na he miltae tou accha tha jahaan,"
0.8076835181931737,"BJP  se nafrat,Modi se nafrat thik hai.Lekin apni BJP/Modi se nafrat ko desh se nafrat me na hone do.Congress to dube gi ,desh ko dubaoge."
0.628858267366497,Kya kya seh ke aayi hai hamari queen . I hate you
0.9211708612975488,yaar ye heena Ro Ko Bula rahi hai lekin awaz se Poori dunia Ke Kaan Band krwa rahi hai Kaisi Pagal hai yaar ye I hate Her Bhot jyada Gandi Gali aa rahi hai Is pagal Ko dekhkr
0.5527284400603405,Bhadoria se ye to Puch lo kya vo dalit ladki nhi thi jiska 10 din tak rape kiya aur Maas khilaya kyu ki vo spa Ka vote bank hai isliye
0.671665264534667,"Kashmir pandito ko mara gya unki ladies ke saath rape hua, kitne kasmiri pandit terrorist bane... tumare jaise log support kr inka husla bnt"
0.5432899785212587,Aur Shanghi Bhajpiye tab jaagte hain jab dange karna ho ya rape ya loot machana ho ya bomb banana ho. @_MiteshPatel @DalitRising
0.5445835244374367,Ye to sahe kaha par matter solve karo ki tumhare bestie kyun hate karte he
0.5930424087089591,Or jo log apni daughter se rape karte hai.unko kya kahenge
0.5494337263422066,apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll
0.7153577051598626,Prakash Raj pe patthar Nahi barsenge so he can speak up his mind  Khan surname ke Saath bolke dikhate wo Galati se famous hote bahut jayda to TRP ke liye log Us statement ka rape Kar dete https://twitter.com/PritishNandy/status/954597935777431552 …
0.5854585123463505,"Haha bhai jaane de sirf hand shake karna inke liye creepy hai par ration card ke naam par molestation karna aur nirbhaya ke rapist ko reward dena sanskar hai inn jihadiyo ke muh na lago rape,halala yahi inka culture hai karne do jitni marzi utni spamming"
0.7215894352710824,Kat ke badh Anu hogi tere hate list main  https://twitter.com/variaholic/status/893177844464984064 …
0.7940641964708915,To kisi army wale ne rape kiya tha kya? Jaante ho to bolo. Warna bakwaas mat karo. Army me saare sadhu hain? Kisi se ghalati nahi hoti?
0.7885979135319398,Rabid is so old Buddha makeup se Buddha jawaan bantaa hai ab Buddha jawaan bachi alia ko bhi nahi chodega buddhe much toh buddape aur apne karnaame ke chalte bachi alia ko toh chod deta Jo bachi ko bhi fusla liya hate Buddha rk hate sonam jitni age ki gf shai thi na ki bachi alia
0.552941467046587,2 din lagne h buss  anji ruk jana..  delhi to thag h Waise bhi kitne rape bhi ho rahe
0.5783271626777738,Hum Nepali k hate kare k naikhi kahat.hum apan bhasa k aage badhawe k kahatani. We have to show what we are we don't need to be fake. Dhanyabaad
0.7286571569595648,(2/2)  Kyun ke ye manogi to tum Islam ko hate kaise karogi phir? Sara propaganda jhoota sabit hoga. Jiyo bharam me karo hate.
0.7255310317773342,"Abe gaddar tu sirf Hindu k khilaf hi qu bolta h, dum  h to Muslim logo ne Kashmir girls ka rape kiya tha uspar b bol"
0.5327702471440051,YE hai desh ki police ke haal
0.5212750240758928,>Apny bachon k sth rape kar k unko maar k kisi koodday men nhi phenktay.
0.6885220112821044,Es eid me . chara khane wale ek or janwar ka ka kima banega. I like it But i hate non veg.
0.5864337382622382,isi waja se aaj itna hate mila mujhe
0.6262477917018926,"Pushpa, mujhse ye aansu nahi dekhe jaate, I hate tears -"
0.5121749845749262,"Twitter pe Hi karne ka natija,sirf haye hate karna rah jata hai. https://twitter.com/squintneon/status/954789887143636992 …"
0.5342079293978013,Lolwa hate toh mai bhi nahi karta...lekin ainvey hi
0.5619987613440488,Arakshan hate to umeed jage ise hume nhi banana
0.653788080151768,"Bharat k musalmano ne har terrorism ko nakar diya,aj har din ap mobe bana kar nirdosh musalmano ki hatya kar rahe phir bhi Muslim silent"
0.8480963256030095,I hate this word ek waqt tha jab mai is word ko sunne ke liye trash rahi thi but ab ghin aati hai is word se
0.5172850293181038,Phati to terrorism par agaey janab. Sharam tum ko magar nahi ati.
0.738246925571578,"Un logo se kabhi rishta mat rkhna jo bolte hai ""i hate winters yar pata nahi garmiya kab padegi"" #summers"
0.5516921979309536,She hate punish and bandagi iss liye.... Aur madam bolati h unbiased hu...
0.5509826397985363,"Kisko jyada prefer karne wali baat nahi saaf saaf dikhta hai He's die hard hater of SRK, Maine to koi Varuniac ko dekha nahi aisa andha hate karta ho kisiko, like kya sirf looks aur wo log ki soch to pata hai na jo jyada hit wo hamara fav aadhe to us wajah se like karte hai"
0.738251000918601,LEKIN TUM SAB LOG PERSONAL HATE KI WAJAH SE CHUTIYAPA KARTE HO
